"","x"
"1",0
"2",1
"3",3
"4",4
"5",5
"6",6
"7",7
"8",9
"9",11
"10",12
"11",13
"12",16
"13",18
"14",21
"15",22
"16",23
"17",24
"18",25
"19",26
"20",27
"21",30
"22",33
"23",34
"24",35
"25",36
"26",39
"27",40
"28",41
"29",42
"30",44
"31",47
"32",50
"33",51
"34",52
"35",54
"36",56
"37",61
"38",63
"39",64
"40",70
"41",75
"42",76
"43",77
"44",81
"45",83
"46",84
"47",87
"48",90
"49",93
"50",96
"51",101
"52",102
"53",104
"54",106
"55",107
"56",109
"57",111
"58",114
"59",115
"60",118
"61",120
"62",128
"63",129
"64",130
"65",132
"66",133
"67",134
"68",135
"69",136
"70",139
"71",140
"72",143
"73",145
"74",148
"75",150
"76",151
"77",152
"78",153
"79",154
"80",156
"81",159
"82",162
"83",163
"84",164
"85",165
"86",169
"87",171
"88",173
"89",178
"90",180
"91",182
"92",183
"93",184
"94",186
"95",188
"96",190
"97",195
"98",198
"99",199
"100",201
"101",204
"102",206
"103",208
"104",210
"105",212
"106",213
"107",214
"108",216
"109",219
"110",221
"111",222
"112",223
"113",224
"114",227
"115",229
"116",230
"117",234
"118",237
"119",238
"120",240
"121",242
"122",243
"123",244
"124",246
"125",248
"126",249
"127",250
"128",251
"129",252
"130",253
"131",256
"132",262
"133",263
"134",264
"135",265
"136",267
"137",268
"138",270
"139",274
"140",277
"141",278
"142",279
"143",280
"144",281
"145",285
"146",286
"147",287
"148",289
"149",290
"150",292
"151",293
"152",299
"153",301
"154",302
"155",306
"156",307
"157",308
"158",312
"159",314
"160",316
"161",317
"162",319
"163",320
"164",321
"165",322
"166",323
"167",324
"168",325
"169",327
"170",329
"171",331
"172",334
"173",335
"174",336
"175",337
"176",340
"177",341
"178",342
"179",343
"180",344
"181",348
"182",349
"183",352
"184",354
"185",355
"186",356
"187",358
"188",359
"189",361
"190",362
"191",363
"192",364
"193",365
"194",366
"195",367
"196",370
"197",371
"198",374
"199",376
"200",380
"201",381
"202",382
"203",384
"204",386
"205",388
"206",390
"207",392
"208",394
"209",395
"210",398
"211",400
"212",402
"213",403
"214",406
"215",407
"216",408
"217",410
"218",411
"219",416
"220",418
"221",420
"222",422
"223",427
"224",429
"225",431
"226",432
"227",436
"228",437
"229",439
"230",440
"231",443
"232",444
"233",448
"234",450
"235",452
"236",455
"237",457
"238",459
"239",463
"240",465
"241",467
"242",468
"243",470
"244",471
"245",472
"246",475
"247",476
"248",479
"249",481
"250",482
"251",483
"252",485
"253",486
"254",487
"255",488
"256",489
"257",490
"258",492
"259",493
"260",494
"261",497
"262",498
"263",500
"264",501
"265",503
"266",506
"267",509
"268",510
"269",511
"270",514
"271",520
"272",522
"273",524
"274",525
"275",531
"276",532
"277",535
"278",538
"279",539
"280",540
"281",541
"282",542
"283",543
"284",546
"285",556
"286",558
"287",559
"288",560
"289",561
"290",565
"291",569
"292",570
"293",571
"294",576
"295",577
"296",578
"297",579
"298",580
"299",582
"300",583
"301",586
"302",589
"303",595
"304",600
"305",601
"306",603
"307",604
"308",605
"309",606
"310",611
"311",612
"312",613
"313",617
"314",618
"315",619
"316",624
"317",625
"318",626
"319",627
"320",629
"321",630
"322",634
"323",636
"324",637
"325",638
"326",639
"327",641
"328",642
"329",643
"330",648
"331",649
"332",651
"333",652
"334",654
"335",655
"336",656
"337",657
"338",659
"339",663
"340",664
"341",667
"342",669
"343",670
"344",675
"345",678
"346",679
"347",681
"348",682
"349",683
"350",684
"351",685
"352",688
"353",691
"354",692
"355",693
"356",697
"357",698
"358",702
"359",703
"360",704
"361",705
"362",706
"363",707
"364",710
"365",714
"366",715
"367",716
"368",717
"369",719
"370",721
"371",723
"372",726
"373",728
"374",730
"375",731
"376",735
"377",736
"378",737
"379",742
"380",743
"381",744
"382",746
"383",748
"384",749
"385",750
"386",752
"387",753
"388",756
"389",757
"390",758
"391",759
"392",762
"393",763
"394",764
"395",766
"396",767
"397",769
"398",770
"399",771
"400",772
"401",773
"402",774
"403",776
"404",777
"405",779
"406",781
"407",783
"408",784
"409",790
"410",794
"411",795
"412",796
"413",798
"414",801
"415",806
"416",807
"417",812
"418",813
"419",814
"420",817
"421",818
"422",820
"423",822
"424",825
"425",829
"426",830
"427",833
"428",836
"429",838
"430",840
"431",841
"432",845
"433",848
"434",849
"435",851
"436",852
"437",853
"438",854
"439",857
"440",858
"441",860
"442",863
"443",866
"444",867
"445",868
"446",870
"447",872
"448",875
"449",877
"450",878
"451",881
"452",882
"453",883
"454",888
"455",890
"456",892
"457",895
"458",896
"459",897
"460",900
"461",901
"462",902
"463",904
"464",905
"465",906
"466",908
"467",909
"468",910
"469",911
"470",912
"471",913
"472",916
"473",920
"474",921
"475",923
"476",924
"477",925
"478",926
"479",927
"480",928
"481",930
"482",931
"483",932
"484",933
"485",934
"486",936
"487",938
"488",943
"489",944
"490",946
"491",948
"492",950
"493",952
"494",954
"495",955
"496",956
"497",960
"498",963
"499",964
"500",967
"501",969
"502",971
"503",972
"504",974
"505",975
"506",976
"507",979
"508",984
"509",986
"510",989
"511",997
